9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
11156;Y04.4; Rua e estrada;Agressão por meio de força corporal - rua e estrada
11157;Y04.5; Areas de comercio e de servicos;Agressão por meio de força corporal - áreas de comércio e de serviços
11158;Y04.6; Areas industriais e em construcao;Agressão por meio de força corporal - áreas industriais e em construção
11159;Y04.7; Fazenda;Agressão por meio de força corporal - fazenda
11160;Y04.8; Outr locais espec;Agressão por meio de força corporal - outros locais especificados
11161;Y04.9; Local NE;Agressão por meio de força corporal - local não especificado
11162;Y05.0; Residencia;Agressão sexual por meio de força física - residência
11163;Y05.1; Habitacao coletiva;Agressão sexual por meio de força física - habitação coletiva
11164;Y05.2; Escolas outr instit areas admin publica;Agressão sexual por meio de força física - escolas, outras instituições e áreas de administração pública
11165;Y05.3; Area p/a pratica de esportes e atletismo;Agressão sexual por meio de força física - área para a prática de esportes e atletismo
11166;Y05.4; Rua e estrada;Agressão sexual por meio de força física - rua e estrada
11167;Y05.5; Areas de comercio e de servicos;Agressão sexual por meio de força física - áreas de comércio e de serviços
11168;Y05.6; Areas industriais e em construcao;Agressão sexual por meio de força física - áreas industriais e em construção
11169;Y05.7; Fazenda;Agressão sexual por meio de força física - fazenda
11170;Y05.8; Outr locais espec;Agressão sexual por meio de força física - outros locais especificados
11171;Y05.9; Local NE;Agressão sexual por meio de força física - local não especificado
11172;Y06.0; Negligencia e abandono p/esposo companheiro;Negligência e abandono pelo esposo ou companheiro
11173;Y06.1; Negligencia e abandono p/pais;Negligência e abandono pelos pais
11174;Y06.2; Negligencia e abandono p/conhecido ou amigo;Negligência e abandono por conhecido ou amigo
11175;Y06.8; Negligencia e abandono p/outr pessoa espec;Negligência e abandono por outra pessoa especificada
11176;Y06.9; Negligencia e abandono p/pessoa NE;Negligência e abandono por pessoa não especificada
11177;Y07.0; Outr sindr maus tratos p/esposo companheiro;Outras síndromes de maus tratos pelo esposo ou companheiro
11178;Y07.1; Outr sindr de maus tratos p/pais;Outras síndromes de maus tratos pelos pais
11179;Y07.2; Outr sindr de maus tratos p/conhecido amigo;Outras síndromes de maus tratos por conhecido ou amigo
11180;Y07.3; Outr sindr de maus tratos p/autor oficiais;Outras síndromes de maus tratos por autoridades oficiais
11181;Y07.8; Outr sindr maus tratos p/outr pessoa espec;Outras síndromes de maus tratos por outra pessoa especificada
11182;Y07.9; Outr sindr de maus tratos p/pessoa NE;Outras síndromes de maus tratos por pessoa não especificada
11183;Y08.0; Residencia;Agressão por outros meios especificados - residência
11184;Y08.1; Habitacao coletiva;Agressão por outros meios especificados - habitação coletiva
11185;Y08.2; Escolas outr instit areas admin publica;Agressão por outros meios especificados - escolas, outras instituições e áreas de administração pública
11186;Y08.3; Area p/a pratica de esportes e atletismo;Agressão por outros meios especificados - área para a prática de esportes e atletismo
11187;Y08.4; Rua e estrada;Agressão por outros meios especificados - rua e estrada
11188;Y08.5; Areas de comercio e de servicos;Agressão por outros meios especificados - áreas de comércio e de serviços
11189;Y08.6; Areas industriais e em construcao;Agressão por outros meios especificados - áreas industriais e em construção
11190;Y08.7; Fazenda;Agressão por outros meios especificados - fazenda
11191;Y08.8; Outr locais espec;Agressão por outros meios especificados - outros locais especificados
11192;Y08.9; Local NE;Agressão por outros meios especificados - local não especificado
11193;Y09.0; Residencia;Agressão por meios não especificados - residência
11194;Y09.1; Habitacao coletiva;Agressão por meios não especificados - habitação coletiva
11195;Y09.2; Escolas outr instit areas admin publica;Agressão por meios não especificados - escolas, outras instituições e áreas de administração pública
11196;Y09.3; Area p/a pratica de esportes e atletismo;Agressão por meios não especificados - área para a prática de esportes e atletismo
11197;Y09.4; Rua e estrada;Agressão por meios não especificados - rua e estrada
11198;Y09.5; Areas de comercio e de servicos;Agressão por meios não especificados - áreas de comércio e de serviços
11199;Y09.6; Areas industriais e em construcao;Agressão por meios não especificados - áreas industriais e em construção
11200;Y09.7; Fazenda;Agressão por meios não especificados - fazenda
11201;Y09.8; Outr locais espec;Agressão por meios não especificados - outros locais especificados
11202;Y09.9; Local NE;Agressão por meios não especificados - local não especificado
11203;Y10.0; Residencia;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - residência
11204;Y10.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - habitação coletiva
11205;Y10.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - escolas, outras instituições e áreas de administração pública
11206;Y10.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - área para a prática de esportes e atletismo
11207;Y10.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - rua e estrada
11208;Y10.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - áreas de comércio e de serviços
11209;Y10.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - áreas industriais e em construção
11210;Y10.7; Fazenda;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - fazenda
11211;Y10.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - outros locais especificados
11212;Y10.9; Local NE;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - local não especificado
11213;Y11.0; Residencia;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - residência
11214;Y11.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - habitação coletiva
11215;Y11.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - escolas, outras instituições e áreas de administração pública
11216;Y11.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - área para a prática de esportes e atletismo
11217;Y11.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - rua e estrada
11218;Y11.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - áreas de comércio e de serviços
11219;Y11.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - áreas industriais e em construção
11220;Y11.7; Fazenda;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - fazenda
11221;Y11.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - outros locais especificados
11222;Y11.9; Local NE;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - local não especificado
11223;Y12.0; Residencia;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - residência
11224;Y12.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - habitação coletiva
11225;Y12.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - escolas, outras instituições e áreas de administração pública
11226;Y12.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - área para a prática de esportes e atletismo
11227;Y12.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - rua e estrada
11228;Y12.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - áreas de comércio e de serviços
11229;Y12.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - áreas industriais e em construção
11230;Y12.7; Fazenda;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - fazenda
11231;Y12.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - outros locais especificados
11232;Y12.9; Local NE;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - local não especificado
11233;Y13.0; Residencia;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - residência
11234;Y13.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - habitação coletiva
11235;Y13.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - escolas, outras instituições e áreas de administração pública
11236;Y13.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - área para a prática de esportes e atletismo
11237;Y13.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - rua e estrada
11238;Y13.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - áreas de comércio e de serviços
11239;Y13.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - áreas industriais e em construção
11240;Y13.7; Fazenda;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - fazenda
11241;Y13.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - outros locais especificados
11242;Y13.9; Local NE;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - local não especificado
11243;Y14.0; Residencia;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - residência
11244;Y14.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - habitação coletiva
11245;Y14.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - escolas, outras instituições e áreas de administração pública
11246;Y14.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - área para a prática de esportes e atletismo
11247;Y14.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - rua e estrada
11248;Y14.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - áreas de comércio e de serviços
11249;Y14.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - áreas industriais e em construção
11250;Y14.7; Fazenda;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - fazenda
11251;Y14.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - outros locais especificados
11252;Y14.9; Local NE;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - local não especificado
11253;Y15.0; Residencia;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - residência
11254;Y15.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - habitação coletiva
11255;Y15.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - escolas, outras instituições e áreas de administração pública
11256;Y15.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - área para a prática de esportes e atletismo
11257;Y15.4; Rua e estrada;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - rua e estrada
11258;Y15.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - áreas de comércio e de serviços
11259;Y15.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - áreas industriais e em construção
11260;Y15.7; Fazenda;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - fazenda
11261;Y15.8; Outr locais espec;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - outros locais especificados
11262;Y15.9; Local NE;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - local não especificado
11263;Y16.0; Residencia;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - residência
11264;Y16.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - habitação coletiva
11265;Y16.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - escolas, outras instituições e áreas de administração pública
11266;Y16.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - área para a prática de esportes e atletismo
11267;Y16.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - rua e estrada
11268;Y16.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - áreas de comércio e de serviços
11269;Y16.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - áreas industriais e em construção
11270;Y16.7; Fazenda;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - fazenda
11271;Y16.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - outros locais especificados
11272;Y16.9; Local NE;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - local não especificado
11273;Y17.0; Residencia;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - residência
11274;Y17.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - habitação coletiva
11275;Y17.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - escolas, outras instituições e áreas de administração pública
11276;Y17.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - área para a prática de esportes e atletismo
11277;Y17.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - rua e estrada
11278;Y17.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - áreas de comércio e de serviços
11279;Y17.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - áreas industriais e em construção
11280;Y17.7; Fazenda;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - fazenda
11281;Y17.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - outros locais especificados
11282;Y17.9; Local NE;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - local não especificado
11283;Y18.0; Residencia;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - residência
11284;Y18.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - habitação coletiva
11285;Y18.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - escolas, outras instituições e áreas de administração pública
11286;Y18.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - área para a prática de esportes e atletismo
11287;Y18.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - rua e estrada
11288;Y18.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - áreas de comércio e de serviços
11289;Y18.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - áreas industriais e em construção
11290;Y18.7; Fazenda;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - fazenda
11291;Y18.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - outros locais especificados
11292;Y18.9; Local NE;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - local não especificado
11293;Y19.0; Residencia;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - residência
11294;Y19.1; Habitacao coletiva;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - habitação coletiva
11295;Y19.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - escolas, outras instituições e áreas de administração pública
11296;Y19.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - área para a prática de esportes e atletismo
11297;Y19.4; Rua e estrada;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - rua e estrada
11298;Y19.5; Areas de comercio e de servicos;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - áreas de comércio e de serviços
11299;Y19.6; Areas industriais e em construcao;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - áreas industriais e em construção
11300;Y19.7; Fazenda;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - fazenda
11301;Y19.8; Outr locais espec;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - outros locais especificados
11302;Y19.9; Local NE;Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada - local não especificado
11303;Y20.0; Residencia;Enforcamento, estrangulamento e sufocação, intenção não determinada - residência
11304;Y20.1; Habitacao coletiva;Enforcamento, estrangulamento e sufocação, intenção não determinada - habitação coletiva
11305;Y20.2; Escolas outr instit areas admin publica;Enforcamento, estrangulamento e sufocação, intenção não determinada - escolas, outras instituições e áreas de administração pública
11306;Y20.3; Area p/a pratica de esportes e atletismo;Enforcamento, estrangulamento e sufocação, intenção não determinada - área para a prática de esportes e atletismo
11307;Y20.4; Rua e estrada;Enforcamento, estrangulamento e sufocação, intenção não determinada - rua e estrada
11308;Y20.5; Areas de comercio e de servicos;Enforcamento, estrangulamento e sufocação, intenção não determinada - áreas de comércio e de serviços
11309;Y20.6; Areas industriais e em construcao;Enforcamento, estrangulamento e sufocação, intenção não determinada - áreas industriais e em construção
11310;Y20.7; Fazenda;Enforcamento, estrangulamento e sufocação, intenção não determinada - fazenda
11311;Y20.8; Outr locais espec;Enforcamento, estrangulamento e sufocação, intenção não determinada - outros locais especificados
11312;Y20.9; Local NE;Enforcamento, estrangulamento e sufocação, intenção não determinada - local não especificado
11313;Y21.0; Residencia;Afogamento e submersão, intenção não determinada - residência
11314;Y21.1; Habitacao coletiva;Afogamento e submersão, intenção não determinada - habitação coletiva
11315;Y21.2; Escolas outr instit areas admin publica;Afogamento e submersão, intenção não determinada - escolas, outras instituições e áreas de administração pública
11316;Y21.3; Area p/a pratica de esportes e atletismo;Afogamento e submersão, intenção não determinada - área para a prática de esportes e atletismo
11317;Y21.4; Rua e estrada;Afogamento e submersão, intenção não determinada - rua e estrada
11318;Y21.5; Areas de comercio e de servicos;Afogamento e submersão, intenção não determinada - áreas de comércio e de serviços
11319;Y21.6; Areas industriais e em construcao;Afogamento e submersão, intenção não determinada - áreas industriais e em construção
11320;Y21.7; Fazenda;Afogamento e submersão, intenção não determinada - fazenda
11321;Y21.8; Outr locais espec;Afogamento e submersão, intenção não determinada - outros locais especificados
11322;Y21.9; Local NE;Afogamento e submersão, intenção não determinada - local não especificado
11323;Y22.0; Residencia;Disparo de pistola, intenção não determinada - residência
11324;Y22.1; Habitacao coletiva;Disparo de pistola, intenção não determinada - habitação coletiva
11325;Y22.2; Escolas outr instit areas admin publica;Disparo de pistola, intenção não determinada - escolas, outras instituições e áreas de administração pública
11326;Y22.3; Area p/a pratica de esportes e atletismo;Disparo de pistola, intenção não determinada - área para a prática de esportes e atletismo
11327;Y22.4; Rua e estrada;Disparo de pistola, intenção não determinada - rua e estrada
11328;Y22.5; Areas de comercio e de servicos;Disparo de pistola, intenção não determinada - áreas de comércio e de serviços
11329;Y22.6; Areas industriais e em construcao;Disparo de pistola, intenção não determinada - áreas industriais e em construção
11330;Y22.7; Fazenda;Disparo de pistola, intenção não determinada - fazenda
11331;Y22.8; Outr locais espec;Disparo de pistola, intenção não determinada - outros locais especificados
11332;Y22.9; Local NE;Disparo de pistola, intenção não determinada - local não especificado
11333;Y23.0; Residencia;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - residência
11334;Y23.1; Habitacao coletiva;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - habitação coletiva
11335;Y23.2; Escolas outr instit areas admin publica;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - escolas, outras instituições e áreas de administração pública
11336;Y23.3; Area p/a pratica de esportes e atletismo;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - área para a prática de esportes e atletismo
11337;Y23.4; Rua e estrada;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - rua e estrada
11338;Y23.5; Areas de comercio e de servicos;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - áreas de comércio e de serviços
11339;Y23.6; Areas industriais e em construcao;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - áreas industriais e em construção
11340;Y23.7; Fazenda;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - fazenda
11341;Y23.8; Outr locais espec;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - outros locais especificados
11342;Y23.9; Local NE;Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada - local não especificado
11343;Y24.0; Residencia;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - residência
11344;Y24.1; Habitacao coletiva;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - habitação coletiva
11345;Y24.2; Escolas outr instit areas admin publica;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - escolas, outras instituições e áreas de administração pública
11346;Y24.3; Area p/a pratica de esportes e atletismo;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - área para a prática de esportes e atletismo
11347;Y24.4; Rua e estrada;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - rua e estrada
11348;Y24.5; Areas de comercio e de servicos;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - áreas de comércio e de serviços
11349;Y24.6; Areas industriais e em construcao;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - áreas industriais e em construção
11350;Y24.7; Fazenda;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - fazenda
11351;Y24.8; Outr locais espec;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - outros locais especificados
11352;Y24.9; Local NE;Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada - local não especificado
11353;Y25.0; Residencia;Contato com material explosivo, intenção não determinada - residência
11354;Y25.1; Habitacao coletiva;Contato com material explosivo, intenção não determinada - habitação coletiva
11355;Y25.2; Escolas outr instit areas admin publica;Contato com material explosivo, intenção não determinada - escolas, outras instituições e áreas de administração pública
11356;Y25.3; Area p/a pratica de esportes e atletismo;Contato com material explosivo, intenção não determinada - área para a prática de esportes e atletismo
11357;Y25.4; Rua e estrada;Contato com material explosivo, intenção não determinada - rua e estrada
11358;Y25.5; Areas de comercio e de servicos;Contato com material explosivo, intenção não determinada - áreas de comércio e de serviços
11359;Y25.6; Areas industriais e em construcao;Contato com material explosivo, intenção não determinada - áreas industriais e em construção
11360;Y25.7; Fazenda;Contato com material explosivo, intenção não determinada - fazenda
11361;Y25.8; Outr locais espec;Contato com material explosivo, intenção não determinada - outros locais especificados
11362;Y25.9; Local NE;Contato com material explosivo, intenção não determinada - local não especificado
11363;Y26.0; Residencia;Exposição a fumaça, fogo e chamas, intenção não determinada - residência
11364;Y26.1; Habitacao coletiva;Exposição a fumaça, fogo e chamas, intenção não determinada - habitação coletiva
11365;Y26.2; Escolas outr instit areas admin publica;Exposição a fumaça, fogo e chamas, intenção não determinada - escolas, outras instituições e áreas de administração pública
11366;Y26.3; Area p/a pratica de esportes e atletismo;Exposição a fumaça, fogo e chamas, intenção não determinada - área para a prática de esportes e atletismo
11367;Y26.4; Rua e estrada;Exposição a fumaça, fogo e chamas, intenção não determinada - rua e estrada
11368;Y26.5; Areas de comercio e de servicos;Exposição a fumaça, fogo e chamas, intenção não determinada - áreas de comércio e de serviços
11369;Y26.6; Areas industriais e em construcao;Exposição a fumaça, fogo e chamas, intenção não determinada - áreas industriais e em construção
11370;Y26.7; Fazenda;Exposição a fumaça, fogo e chamas, intenção não determinada - fazenda
11371;Y26.8; Outr locais espec;Exposição a fumaça, fogo e chamas, intenção não determinada - outros locais especificados
11372;Y26.9; Local NE;Exposição a fumaça, fogo e chamas, intenção não determinada - local não especificado
11373;Y27.0; Residencia;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - residência
11374;Y27.1; Habitacao coletiva;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - habitação coletiva
